business_name,city,phone,demo_url,deployed_at
"San Diego Mobile Welder","San Diego","(858) 437-2339","https://san-diego-mobile-welder.netlify.app","2026-05-27T13:52:26.869302"
"All Welding Pros","Rancho Cucamonga","(909) 948-1535","https://all-welding-pros.netlify.app","2026-05-27T13:52:39.929523"
"Gonzalez Welding Mobile","Bay Area","(858) 465-8919","https://gonzalez-welding-mobile.netlify.app","2026-05-27T13:53:10.265538"
"Ferguson Welding Service","Union City","(510) 487-5906","https://ferguson-welding-service.netlify.app","2026-05-27T13:53:23.615697"
"Brother's Welding Services","Bakersfield","(661) 432-7550","https://brothers-welding-services.netlify.app","2026-05-27T13:53:33.660982"
"Sam's Welding Inc","San Diego","(619) 281-2709","https://sams-welding-inc.netlify.app","2026-05-27T13:53:43.438300"
"Javier's Custom Welding","Bakersfield","(661) 243-6139","https://javiers-custom-welding.netlify.app","2026-05-27T14:11:12.346971"
"Humberto's Mobile Welding","Pomona","(909) 632-5412","https://humbertos-mobile-welding.netlify.app","2026-05-27T14:11:25.292232"
"Mobileweld Inc","San Marcos","(760) 525-3504","https://mobileweld-inc.netlify.app","2026-05-27T14:11:45.609108"
"Sam Weathers Welding","Chico","(530) 520-6924","https://sam-weathers-welding.netlify.app","2026-05-27T14:11:58.058791"
"JG Mobile Welding","Lakeside","(619) 386-0026","https://jg-mobile-welding.netlify.app","2026-05-27T14:12:09.148011"
"Marathon Welding LLC","Bakersfield","(661) 220-2295","https://marathon-welding-llc.netlify.app","2026-05-27T14:12:19.251726"
"CCP Mobile Welding","West Covina","(626) 310-1094","https://ccp-mobile-welding.netlify.app","2026-05-27T14:12:29.027261"
"San Diego Mobile Welder","San Diego","(858) 437-2339","https://san-diego-mobile-welder.netlify.app","2026-05-27T14:12:39.050184"
"All Welding Pros","Rancho Cucamonga","(909) 948-1535","https://all-welding-pros.netlify.app","2026-05-27T14:12:50.112191"
"Gonzalez Welding Mobile","Bay Area","(858) 465-8919","https://gonzalez-welding-mobile.netlify.app","2026-05-27T14:13:04.270800"
"Ferguson Welding Service","Union City","(510) 487-5906","https://ferguson-welding-service.netlify.app","2026-05-27T14:13:14.806753"
"Brother's Welding Services","Bakersfield","(661) 432-7550","https://brothers-welding-services.netlify.app","2026-05-27T14:13:33.244987"
"Sam's Welding Inc","San Diego","(619) 281-2709","https://sams-welding-inc.netlify.app","2026-05-27T14:13:44.838798"
"Mig Brothers","Sacramento","(916) 909-3030","https://mig-brothers.netlify.app","2026-05-27T14:13:54.884411"
"Cano Processing","Stockton","(209) 213-8428","https://cano-processing.netlify.app","2026-05-27T14:14:12.614568"
"Anytime Welding Inc","San Jose","(408) 279-3292","https://anytime-welding-inc.netlify.app","2026-05-27T14:14:31.287879"
"JMC Welding","Santa Ana","(714) 854-4887","https://jmc-welding.netlify.app","2026-05-27T14:14:49.186957"
"RJE Mobile Welding","Victorville","(619) 906-0281","https://rje-mobile-welding.netlify.app","2026-05-27T14:15:06.895809"
"Samy Mobile Welding LLC","Fresno","(559) 800-5949","https://samy-mobile-welding-llc.netlify.app","2026-05-27T14:15:23.671764"
"American Welding","Santa Rosa","(707) 569-4357","https://american-welding.netlify.app","2026-05-27T14:15:34.130278"
"Marcus Payne's Welding","Moreno Valley","(951) 488-7142","https://marcus-paynes-welding.netlify.app","2026-05-27T14:15:45.067305"
"California On-Site Welding","Riverside","(909) 208-2179","https://california-on-site-welding.netlify.app","2026-05-27T14:16:01.435496"
"Marlin Welding Services Inc","Los Angeles","(213) 984-3148","https://marlin-welding-services-inc.netlify.app","2026-05-27T14:16:16.864100"
"HB Fab Co","Huntington Beach","(714) 717-5461","https://hb-fab-co.netlify.app","2026-05-27T14:16:31.256635"
"KMBJ Structural Steel","Los Angeles","(323) 637-8916","https://kmbj-structural-steel.netlify.app","2026-05-27T14:16:42.637681"
"Mission Steel Fabrication","Montclair","(909) 389-0088","https://mission-steel-fabrication.netlify.app","2026-05-27T14:16:52.920214"
"Iron Dog Fabrication","Santa Rosa","(707) 579-7831","https://iron-dog-fabrication.netlify.app","2026-05-27T14:17:02.954439"
"Precision Welding","Los Angeles","(818) 934-5021","https://precision-welding.netlify.app","2026-05-27T14:17:17.760350"
"Ace Welding and Fabrication","Oceanside","(760) 722-2588","https://ace-welding-and-fabrication.netlify.app","2026-05-27T14:17:30.294471"
"Ron West Welding & Fabrication","Oakland","(510) 325-4710","https://ron-west-welding-fabricat.netlify.app","2026-05-27T14:33:49.924068"
Rivera's Mobile Welding Services,Costa Mesa CA,(949) 903-6797,https://riveras-mobile-welding-service.netlify.app,2026-05-28T00:26:19.815886
Leo G And Sons Welding,Salinas CA,(831) 262-7787,https://leo-g-and-sons-welding.netlify.app,2026-05-28T00:26:19.815886
Eagle Welding Services Inc,Sacramento CA,(916) 600-8993,https://eagle-welding-services-inc.netlify.app,2026-05-28T00:26:19.815886
ATS Welding & Fabrication,Sacramento CA,(916) 621-5883,https://ats-welding-fabrication.netlify.app,2026-05-28T00:26:19.815886
Allweld Metal Fabrication Inc,Napa CA,(707) 815-5280,https://awmf-napa-welding.netlify.app,2026-05-28T00:26:19.815886
Roland's Mobile Welding,Ontario CA,(909) 762-6342,https://rolands-mobile-welding.netlify.app,2026-05-28T00:26:19.815886
Fabworx Inc,Santa Rosa CA,(707) 579-7000,https://fabworx-inc.netlify.app,2026-05-28T00:26:19.815886
New Generation Welding,Marysville CA,(530) 806-8659,https://new-generation-welding.netlify.app,2026-05-28T00:26:19.815886
Modern Welding of California,Fresno CA,(559) 275-9353,https://modern-welding-of-california.netlify.app,ca004,yes,2026-05-28T01:28:51.004885
